cht_name,eng_name,id,typhoon_year,typhoon_route,born_location,hit_date,hit_count,warning_start,warning_end,warning_count,max_intensity,max_wind_speed,landind_location,moving_info,disaster_info,link,typhoon_sn,total_accu_rain_pic,daily_accu_rain_pic,typhoon_info_pdf,typhoon_route_pic,typhoon_alert_pdf
圓規,KOMPASU,202118,2021,---,"131.8, 12.7",2021年 10月 11日,1,海上 2021-10-10 20:30:00,海上 2021-10-12 08:30:00,13,輕度,30 (公尺/秒),---,10月8日14時於菲律賓東方海面生成，10月10日持續向西移動朝巴士海峽接近，於同日20時30分發布海上颱風警報。11日暴風圈掠過巴士海峽後，12日08時30分解除海上颱風警報。,1人受傷，全臺約4.5萬戶停電，農業損失約5500萬元。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/201?id=2014291868,202118-圓規,---,202118-圓規/各測站連續24小時累積雨量長條圖.png,202118-圓規/颱風雨量綜合資訊.pdf,202118-圓規/颱風路徑圖.png,202118-圓規/颱風警報單.pdf
璨樹,CHANTHU,202114,2021,6,"136.6, 15.6",2021年 09月 12日,1,海上 2021-09-10 05:30:00;陸上 2021-09-10 17:30:00,陸上 2021-09-12 20:30:00;海上 2021-09-13 02:30:00,24,強烈,58 (公尺/秒),---,9月7日8時於菲律賓東方海面生成後向西移動， 10日轉向北北西移動接近巴士海峽，於5時30分發布海上颱風警報，同日17時30分發布陸上颱風警報。12日於臺灣東部近海北上通過，暴風圈涵蓋臺灣全島，13日2時30分解除海上颱風警報。,零星災情，全臺7.8萬戶停電，無人傷亡。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/154?id=2014291444,202114-璨樹,202114-璨樹/各測站總雨量長條圖.png,202114-璨樹/各測站連續24小時累積雨量長條圖.png,202114-璨樹/颱風雨量綜合資訊.pdf,202114-璨樹/颱風路徑圖.png,202114-璨樹/颱風警報單.pdf
盧碧,LUPIT,202109,2021,---,"115.5, 21.2",2021年 08月 05日,1,海上 2021-08-04 14:30:00,海上 2021-08-05 17:30:00,10,輕度,20 (公尺/秒),---,8月3日8時於南海北部海面生成後向東移動，8月4日轉向北北東移動接近臺灣海峽南部海域，於14時30分發布海上颱風警報。5日午間於廣東沿海登陸，17時30分解除海上颱風警報。,受颱風減弱為熱帶性低氣壓及西南氣流影響，中南部有超大豪雨，農業損失約4.3億。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/54573?id=ISNULL,202109-盧碧,202109-盧碧/各測站總雨量長條圖.png,202109-盧碧/各測站連續24小時累積雨量長條圖.png,202109-盧碧/颱風雨量綜合資訊.pdf,202109-盧碧/颱風路徑圖.png,202109-盧碧/颱風警報單.pdf
烟花,IN-FA,202106,2021,---,"132.9, 22.3",2021年 07月 24日,1,海上 2021-07-21 20:30:00,海上 2021-07-24 11:30:00,22,中度,43 (公尺/秒),---,7月18日2時於菲律賓東方海面生成，7月20至21日向西南西移動，緩慢通過琉球南方海域。21日20時30分發布海上颱風警報，22日於宮古島南方海域緩慢轉北北西移動。24日凌晨中心通過宮古島近海及其暴風圈掠過臺灣東北部海域後，於同日11時30分解除海上颱風警報。,未有重大災情。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/54572?id=ISNULL,202106-烟花,202106-烟花/各測站總雨量長條圖.png,202106-烟花/各測站連續24小時累積雨量長條圖.png,---,202106-烟花/颱風路徑圖.png,202106-烟花/颱風警報單.pdf
彩雲,CHOI-WAN,202103,2021,---,"130.5, 7.5",2021年 06月 04日,1,海上 2021-06-03 16:00:00;陸上 2021-06-03 23:30:00,陸上 2021-06-04 20:30:00;海上 2021-06-04 20:30:00,11,輕度,20 (公尺/秒),---,5月31日8時於菲律賓東南方海面生成，初期向西北方移動，6月1至2日通 過菲律賓群島後，3日進入南海轉向北方移動。颱風中心於同日14時，向北 轉北北東移動，於16時發布海上颱風警報，持續接近東沙島海域及巴士海峽； 23時於鵝鑾鼻西南方440公里海面上，逐漸轉東北方移動，並於23時30分 發布海上陸上颱風警報。4日17時暴風圈進入恆春半島，隨後於20時減弱為 熱帶性低氣壓，並於20時30分解除海上陸上颱風警報。,無,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/54571?id=ISNULL,202103-彩雲,202103-彩雲/各測站總雨量長條圖.png,202103-彩雲/各測站連續24小時累積雨量長條圖.png,202103-彩雲/颱風雨量綜合資訊.pdf,202103-彩雲/颱風路徑圖.png,202103-彩雲/颱風警報單.pdf
閃電,ATSANI,202020,2020,5,"148.2, 7.5",2020年 11月 06日,1,海上 2020-11-05 08:30:00;陸上 2020-11-05 20:30:00,陸上 2020-11-07 08:30:00;海上 2020-11-07 14:30:00,19,輕度,28 (公尺/秒),---,10月29日20時於關島東南方海域形成後，向西北朝琉球南方海域移動。11月5日轉向西北西朝巴士海峽接近，於08時30分發布海上颱風警報；20時30分發布海上陸上颱風警報。6日晚間暴風圈籠罩臺東、臺南、高雄及屏東。7日14時於澎湖南方近海減弱為熱帶性低氣壓，隨後解除海上颱風警報。,"中央災害應變中心統計共造成3人受傷，農業損失約2,400萬。",https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/109?id=ISNULL,202020-閃電,202020-閃電/各測站總雨量長條圖.png,202020-閃電/各測站連續24小時累積雨量長條圖.png,202020-閃電/颱風雨量綜合資訊.pdf,202020-閃電/颱風路徑圖.png,202020-閃電/颱風警報單.pdf
巴威,BAVI,202008,2020,---,"122.7, 23.3",2020年 08月 22日,1,海上 2020-08-22 10:30:00,海上 2020-08-22 23:30:00,6,輕度,25 (公尺/秒),---,8月22日8時於花蓮東南東方約140公里之近海生成，10時30分發布海上颱風警報，向北北東移動，暴風圈進入臺灣東半部海面。23時於臺北東北東方約 230公里之海面上，逐漸遠離台灣東北部近面，隨後於23時30分解除海上颱風警報。,中央災害應變中心統計無傷亡，失蹤1名。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/108?id=ISNULL,202008-巴威,202008-巴威/各測站總雨量長條圖.png,---,202008-巴威/颱風雨量綜合資訊.pdf,202008-巴威/颱風路徑圖.png,202008-巴威/颱風警報單.pdf
米克拉,MEKKHALA,202006,2020,---,"118.3, 19.4",2020年 10月 19日,1,海上 2020-08-10 10:30:00;陸上 2020-08-10 10:30:00,陸上 2020-08-11 14:30:00;海上 2020-08-11 14:30:00,11,輕度,23 (公尺/秒),---,10日8時於南海形成後，持續向北北東朝巴士海峽移動，於上午10時30分發布海上陸上颱風警報。11日5時在金門南方近海，向北北西移動，其暴風範圍籠罩澎湖及金門；於7時在中國福建沿海登陸。14時30分金門脫離暴風圈，解除海上陸上颱風警報。,---,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/107?id=ISNULL,202006-米克拉,---,202006-米克拉/各測站連續24小時累積雨量長條圖.png,202006-米克拉/颱風雨量綜合資訊.pdf,202006-米克拉/颱風路徑圖.png,202006-米克拉/颱風警報單.pdf
哈格比,HAGUPIT,202004,2020,---,"127.2, 21.4",2020年 08月 03日,1,海上 2020-08-02 05:30:00,海上 2020-08-03 23:30:00,15,中度,33 (公尺/秒),---,8月1日14時於臺灣東南方海面生成，朝向西北方向移動，2日5時30分發布海上颱風警報，向西北轉北北西移動，逐漸朝臺灣東北部海面接近。3日14時於基隆東北方約 150 公里之海面上，朝北北西移動，逐漸遠離台灣北部海面；隨後於23時30分解除海上颱風警報。,---,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/106?id=ISNULL,202004-哈格比,202004-哈格比/各測站總雨量長條圖.png,202004-哈格比/各測站連續24小時累積雨量長條圖.png,202004-哈格比/颱風雨量綜合資訊.pdf,202004-哈格比/颱風路徑圖.png,202004-哈格比/颱風警報單.pdf
黃蜂,VONGFONG,202001,2020,---,"129.0, 11.0",---,1,海上 2020-05-16 11:30:00,海上 2020-05-17 08:30:00,8,輕度,18 (公尺/秒),---,5月12日20時於菲律賓東方海面生成，初期移動方向偏西，14至15日通過菲律賓群島及呂宋島時，轉為向西北至北北西方向移動。颱風中心於16日8時離開呂宋島，轉為向北方向移動，上午11時30分發布海上颱風警報，接近巴士海峽移動方向轉為北北東。隨後於17日8時在鵝鑾鼻南方海面減弱為熱帶性低氣壓，於8時30分解除海上颱風警報。,未有重大災情發生。,https://bear.emic.gov.tw/MY/#/home/disasterInfo/index/timeline/104?id=ISNULL,202001-黃蜂,202001-黃蜂/各測站總雨量長條圖.png,---,202001-黃蜂/颱風雨量綜合資訊.pdf,202001-黃蜂/颱風路徑圖.png,202001-黃蜂/颱風警報單.pdf
